Id,index,sbm_0,sbm_1,sbm_2,sbm_3,sbm_4,sbm_5,sbm_6,sbm_7,sbm_8
1,0,24,18,5,0,0,0,0,0,0
2,1,170,18,8,0,0,0,0,0,0
3,2,181,13,8,0,0,0,0,0,0
4,3,101,29,9,0,0,0,0,0,0
5,4,129,13,5,0,0,0,0,0,0
6,5,19,15,5,0,0,0,0,0,0
7,6,69,17,8,0,0,0,0,0,0
8,7,96,13,8,0,0,0,0,0,0
9,8,29,17,5,0,0,0,0,0,0
10,9,24,15,8,0,0,0,0,0,0
11,10,181,13,8,0,0,0,0,0,0
12,11,137,29,8,0,0,0,0,0,0
13,12,19,17,8,0,0,0,0,0,0
14,13,24,12,5,0,0,0,0,0,0
15,14,8,17,8,0,0,0,0,0,0
16,15,8,15,9,0,0,0,0,0,0
17,16,39,18,8,0,0,0,0,0,0
18,17,90,18,8,0,0,0,0,0,0
19,18,96,13,8,0,0,0,0,0,0
20,19,79,13,8,0,0,0,0,0,0
21,20,24,29,5,0,0,0,0,0,0
22,21,155,18,8,0,0,0,0,0,0
23,22,135,17,5,0,0,0,0,0,0
24,23,26,18,8,0,0,0,0,0,0
25,24,8,15,9,0,0,0,0,0,0
26,25,29,3,8,0,0,0,0,0,0
27,26,21,37,8,0,0,0,0,0,0
28,27,58,15,9,0,0,0,0,0,0
29,28,96,17,8,0,0,0,0,0,0
30,29,135,37,5,0,0,0,0,0,0
31,30,24,17,8,0,0,0,0,0,0
32,31,96,15,8,0,0,0,0,0,0
33,32,96,12,5,0,0,0,0,0,0
34,33,26,13,8,0,0,0,0,0,0
35,34,58,32,8,0,0,0,0,0,0
36,35,96,37,8,0,0,0,0,0,0
37,36,170,17,9,0,0,0,0,0,0
38,37,71,17,9,0,0,0,0,0,0
39,38,71,15,5,0,0,0,0,0,0
40,39,21,29,5,0,0,0,0,0,0
41,40,96,15,5,0,0,0,0,0,0
42,41,21,17,8,0,0,0,0,0,0
43,42,96,17,8,0,0,0,0,0,0
44,43,181,17,8,0,0,0,0,0,0
45,44,96,12,8,0,0,0,0,0,0
46,45,181,15,8,0,0,0,0,0,0
47,46,155,17,8,0,0,0,0,0,0
48,47,79,17,5,0,0,0,0,0,0
49,48,24,29,8,0,0,0,0,0,0
50,49,8,13,0,0,0,0,0,0,0
51,50,135,13,0,0,0,0,0,0,0
52,51,58,17,0,0,0,0,0,0,0
53,52,96,13,0,0,0,0,0,0,0
54,53,155,18,0,0,0,0,0,0,0
55,54,8,18,0,0,0,0,0,0,0
56,55,24,18,0,0,0,0,0,0,0
57,56,90,15,0,0,0,0,0,0,0
58,57,19,15,0,0,0,0,0,0,0
59,58,58,32,0,0,0,0,0,0,0
60,59,79,18,0,0,0,0,0,0,0
61,60,135,15,0,0,0,0,0,0,0
62,61,79,15,0,0,0,0,0,0,0
63,62,79,37,0,0,0,0,0,0,0
64,63,58,37,0,0,0,0,0,0,0
65,64,96,17,0,0,0,0,0,0,0
66,65,135,15,0,0,0,0,0,0,0
67,66,58,17,0,0,0,0,0,0,0
68,67,19,17,0,0,0,0,0,0,0
69,68,8,18,0,0,0,0,0,0,0
70,69,19,29,0,0,0,0,0,0,0
71,70,170,15,0,0,0,0,0,0,0
73,71,19,13,0,0,0,0,0,0,0
74,72,19,17,0,0,0,0,0,0,0
75,73,19,18,0,0,0,0,0,0,0
76,74,8,17,0,0,0,0,0,0,0
77,75,96,32,0,0,0,0,0,0,0
78,76,96,13,0,0,0,0,0,0,0
79,77,129,37,0,0,0,0,0,0,0
80,78,24,18,0,0,0,0,0,0,0
81,79,170,18,0,0,0,0,0,0,0
82,80,181,18,0,0,0,0,0,0,0
83,81,152,15,0,0,0,0,0,0,0
84,82,155,37,0,0,0,0,0,0,0
85,83,170,18,0,0,0,0,0,0,0
86,84,39,18,0,0,0,0,0,0,0
87,85,96,15,0,0,0,0,0,0,0
88,86,96,17,0,0,0,0,0,0,0
89,87,181,17,0,0,0,0,0,0,0
90,88,0,12,0,0,0,0,0,0,0
91,89,100,32,0,0,0,0,0,0,0
92,90,24,17,0,0,0,0,0,0,0
93,91,137,13,0,0,0,0,0,0,0
94,92,79,37,0,0,0,0,0,0,0
95,93,152,17,0,0,0,0,0,0,0
96,94,29,13,0,0,0,0,0,0,0
97,95,155,15,0,0,0,0,0,0,0
98,96,8,15,0,0,0,0,0,0,0
99,97,29,13,0,0,0,0,0,0,0
100,98,135,18,0,0,0,0,0,0,0
101,99,96,32,0,0,0,0,0,0,0
102,100,170,18,0,0,0,0,0,0,0
103,101,79,17,0,0,0,0,0,0,0
104,102,29,32,0,0,0,0,0,0,0
105,103,24,37,0,0,0,0,0,0,0
106,104,152,17,0,0,0,0,0,0,0
107,105,8,18,0,0,0,0,0,0,0
108,106,152,15,0,0,0,0,0,0,0
109,107,29,12,0,0,0,0,0,0,0
110,108,101,18,0,0,0,0,0,0,0
111,109,135,32,0,0,0,0,0,0,0
112,110,135,17,0,0,0,0,0,0,0
113,111,71,13,0,0,0,0,0,0,0
114,112,29,32,0,0,0,0,0,0,0
115,113,137,3,0,0,0,0,0,0,0
116,114,79,12,0,0,0,0,0,0,0
117,115,21,3,0,0,0,0,0,0,0
119,116,100,37,0,0,0,0,0,0,0
120,117,130,15,0,0,0,0,0,0,0
121,118,79,15,0,0,0,0,0,0,0
122,119,96,15,0,0,0,0,0,0,0
123,120,96,12,0,0,0,0,0,0,0
124,121,71,37,0,0,0,0,0,0,0
125,122,29,37,0,0,0,0,0,0,0
126,123,96,29,0,0,0,0,0,0,0
127,124,0,17,0,0,0,0,0,0,0
128,125,181,13,0,0,0,0,0,0,0
129,126,19,15,0,0,0,0,0,0,0
130,127,130,17,0,0,0,0,0,0,0
131,128,21,12,0,0,0,0,0,0,0
132,129,24,17,0,0,0,0,0,0,0
133,130,100,29,0,0,0,0,0,0,0
134,131,155,12,0,0,0,0,0,0,0
135,132,100,15,0,0,0,0,0,0,0
136,133,101,13,0,0,0,0,0,0,0
137,134,79,17,0,0,0,0,0,0,0
138,135,8,12,0,0,0,0,0,0,0
139,136,96,3,0,0,0,0,0,0,0
140,137,181,13,0,0,0,0,0,0,0
141,138,0,17,0,0,0,0,0,0,0
142,139,130,32,0,0,0,0,0,0,0
143,140,24,17,0,0,0,0,0,0,0
144,141,79,18,0,0,0,0,0,0,0
145,142,101,15,0,0,0,0,0,0,0
146,143,71,17,0,0,0,0,0,0,0
147,144,58,32,0,0,0,0,0,0,0
148,145,19,17,0,0,0,0,0,0,0
149,146,130,29,0,0,0,0,0,0,0
150,147,96,37,0,0,0,0,0,0,0
151,148,101,17,0,0,0,0,0,0,0
152,149,26,15,0,0,0,0,0,0,0
153,150,24,18,0,0,0,0,0,0,0
154,151,152,15,0,0,0,0,0,0,0
155,152,101,32,0,0,0,0,0,0,0
156,153,135,17,0,0,0,0,0,0,0
157,154,181,17,0,0,0,0,0,0,0
158,155,129,3,0,0,0,0,0,0,0
159,156,26,12,0,0,0,0,0,0,0
160,157,90,17,0,0,0,0,0,0,0
161,158,135,37,0,0,0,0,0,0,0
162,159,26,17,0,0,0,0,0,0,0
163,160,135,12,0,0,0,0,0,0,0
164,161,58,12,0,0,0,0,0,0,0
165,162,79,18,0,0,0,0,0,0,0
166,163,135,32,0,0,0,0,0,0,0
167,164,101,15,0,0,0,0,0,0,0
168,165,69,17,0,0,0,0,0,0,0
169,166,135,18,0,0,0,0,0,0,0
170,167,137,32,0,0,0,0,0,0,0
171,168,29,15,0,0,0,0,0,0,0
172,169,79,15,0,0,0,0,0,0,0
173,170,135,17,0,0,0,0,0,0,0
174,171,8,15,0,0,0,0,0,0,0
175,172,79,37,0,0,0,0,0,0,0
176,173,101,18,0,0,0,0,0,0,0
177,174,79,15,0,0,0,0,0,0,0
178,175,29,12,0,0,0,0,0,0,0
179,176,58,3,0,0,0,0,0,0,0
180,177,181,15,0,0,0,0,0,0,0
181,178,101,13,0,0,0,0,0,0,0
182,179,19,18,0,0,0,0,0,0,0
183,180,101,32,0,0,0,0,0,0,0
184,181,39,17,0,0,0,0,0,0,0
